Date,Open,High,Low,Close,Adj Close
2022-01-04,1860.08,1874.03,1819.08,1856.31,1856.31
2022-01-05,1850.08,1870.08,1823.08,1829.08,1829.08
2022-01-06,1827.09,1841.08,1743.59,1787.3,1787.3
2022-01-07,1780.08,1793.96,1744.4,1747.08,1747.08
2022-01-10,1733.09,1782.08,1722.63,1771.08,1771.08
2022-01-11,1753.08,1770.08,1736.25,1745.63,1745.63
2022-01-12,1753.08,1783.88,1753.08,1772.08,1772.08
2022-01-13,1769.9,1773.07,1670.64,1682.47,1682.47
2022-01-14,1682.47,1698.08,1668.08,1672.08,1672.08
2022-01-17,1673.08,1683.38,1640.42,1666.69,1666.69
2022-01-18,1666.76,1713.93,1657.08,1697.35,1697.35
2022-01-19,1724.08,1724.08,1693.96,1717.08,1717.08
2022-01-20,1721.08,1785.07,1721.08,1774.6,1774.6
2022-01-21,1765.08,1798.57,1756.09,1790.07,1790.07
2022-01-24,1760.08,1789.08,1736.52,1755.28,1755.28
2022-01-25,1748.08,1771.08,1736.08,1748.08,1748.08
2022-01-26,1747.12,1774.08,1724.08,1760.08,1760.08
2022-01-27,1806.09,1815.9,1757.08,1770.08,1770.08
2022-01-28,1760.08,1773.08,1685.09,1692.08,1692.08
2022-02-07,1706.07,1718.64,1655.08,1673.04,1673.04
2022-02-08,1673.96,1677.95,1595.08,1644.08,1644.08
2022-02-09,1644.17,1713.08,1632.05,1701.06,1701.06
2022-02-10,1705.08,1710.98,1662.47,1678.08,1678.08
2022-02-11,1662.08,1705.87,1646.08,1655.05,1655.05
2022-02-14,1645.08,1682.08,1642.39,1673.75,1673.75
2022-02-15,1673.88,1716.08,1664.08,1695.7,1695.7
2022-02-16,1705.08,1712.08,1693.08,1697.63,1697.63
2022-02-17,1705.69,1716.56,1686.08,1692.07,1692.07
2022-02-18,1682.71,1713.06,1670.74,1712.08,1712.08
2022-02-21,1705.08,1711.98,1674.03,1682.07,1682.07
2022-02-22,1665.09,1666.08,1605.1,1612.95,1612.95
2022-02-23,1616.49,1639.08,1605.16,1632.09,1632.09
